"name","id","properties"
"AzureSignalR","AzureSignalR","@{changeNumber=4; region=; regionId=0; platform=Azure; systemService=AzureSignalR; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"AzureSiteRecovery","AzureSiteRecovery","@{changeNumber=7; region=; regionId=0; platform=Azure; systemService=AzureSiteRecovery; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"Storage","Storage","@{changeNumber=10; region=; regionId=0; platform=Azure; systemService=AzureStorage; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"AzureTrafficManager","AzureTrafficManager","@{changeNumber=2; region=; regionId=0; platform=Azure; systemService=AzureTrafficManager; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"BatchNodeManagement","BatchNodeManagement","@{changeNumber=6; region=; regionId=0; platform=Azure; systemService=BatchNodeManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"CognitiveServicesManagement","CognitiveServicesManagement","@{changeNumber=13; region=; regionId=0; platform=Azure; systemService=CognitiveServicesManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"DataFactory","DataFactory","@{changeNumber=13; region=; regionId=0; platform=Azure; systemService=DataFactory; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"Dynamics365ForMarketingEmail","Dynamics365ForMarketingEmail","@{changeNumber=1; region=; regionId=0; platform=Azure; systemService=Dynamics365ForMarketingEmail; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"GatewayManager","GatewayManager","@{changeNumber=4; region=; regionId=0; platform=Azure; systemService=GatewayManager; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"HDInsight","HDInsight","@{changeNumber=7; region=; regionId=0; platform=Azure; systemService=HDInsight; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"LogicApps","LogicApps","@{changeNumber=7; region=; regionId=0; platform=Azure; systemService=LogicApps; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"MicrosoftCloudAppSecurity","MicrosoftCloudAppSecurity","@{changeNumber=3; region=; regionId=0; platform=Azure; systemService=MicrosoftCloudAppSecurity; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"MicrosoftContainerRegistry","MicrosoftContainerRegistry","@{changeNumber=7; region=; regionId=0; platform=Azure; systemService=MicrosoftContainerRegistry; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"PowerBI","PowerBI","@{changeNumber=3; region=; regionId=0; platform=Azure; systemService=PowerBI; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"PowerQueryOnline","PowerQueryOnline","@{changeNumber=5; region=; regionId=0; platform=Azure; systemService=PowerQueryOnline; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ServiceFabric","ServiceFabric","@{changeNumber=8; region=; regionId=0; platform=Azure; systemService=ServiceFabric; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"SqlManagement","SqlManagement","@{changeNumber=11; region=; regionId=0; platform=Azure; systemService=SqlManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"StorageSyncService","StorageSyncService","@{changeNumber=7; region=; regionId=0; platform=Azure; systemService=StorageSyncService; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"WindowsVirtualDesktop","WindowsVirtualDesktop","@{changeNumber=4; region=; regionId=0; platform=Azure; systemService=WindowsVirtualDesktop; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.AustraliaCentral","ActionGroup.AustraliaCentral","@{changeNumber=1; region=australiacentral; regionId=58; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.AustraliaCentral2","ActionGroup.AustraliaCentral2","@{changeNumber=1; region=australiacentral2; regionId=59; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.AustraliaEast","ActionGroup.AustraliaEast","@{changeNumber=1; region=australiaeast; regionId=3; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.AustraliaSoutheast","ActionGroup.AustraliaSoutheast","@{changeNumber=2; region=australiasoutheast; regionId=4; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
"ActionGroup.BrazilSouth","ActionGroup.BrazilSouth","@{changeNumber=2; region=brazilsouth; regionId=9; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
"ActionGroup.BrazilSoutheast","ActionGroup.BrazilSoutheast","@{changeNumber=2; region=brazilse; regionId=77; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
"ActionGroup.CanadaCentral","ActionGroup.CanadaCentral","@{changeNumber=2; region=canadacentral; regionId=11; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
"ActionGroup.CanadaEast","ActionGroup.CanadaEast","@{changeNumber=1; region=canadaeast; regionId=12; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.CentralIndia","ActionGroup.CentralIndia","@{changeNumber=2; region=centralindia; regionId=21; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
"ActionGroup.CentralUS","ActionGroup.CentralUS","@{changeNumber=1; region=centralus; regionId=31; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.CentralUSEUAP","ActionGroup.CentralUSEUAP","@{changeNumber=1; region=centraluseuap; regionId=48; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.EastAsia","ActionGroup.EastAsia","@{changeNumber=1; region=eastasia; regionId=1; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
